asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1
1731.39,1649.81,0.62,0.65,0.95,3.49,4.47,44.62,Al
736.35,1129.32,0.48,0.31,1.53,2.19,2.58,40.64,Cu
2054.35,1714.96,0.64,0.77,0.83,3.91,5.11,44.96,Cu
4728.27,1989.54,0.82,1.95,0.42,7.22,10.55,49.61,Ni
2623.65,1989.66,0.76,1,0.76,4.63,6.26,50.68,Mn
2028.8,1850.3,0.68,0.75,0.91,3.88,5.03,48.31,Zn
2246.99,2238.65,0.71,0.72,1,4.16,5.15,54.04,Cd
2578.3,2332.63,0.69,0.76,0.9,4.58,5.56,53.25,Zn
2904.54,2140.97,0.73,0.99,0.74,4.99,6.49,51.13,Zn
3259.88,2801.31,0.7,0.81,0.86,5.43,6.38,58.52,Cd
1563.28,1740.01,0.67,0.6,1.11,3.28,4.17,48.48,Cd
2166.48,1904.31,0.7,0.8,0.88,4.05,5.3,49.16,Zn
2604.21,1840,0.73,1.04,0.71,4.61,6.36,47.96,Zn
1429.65,1457.17,0.6,0.58,1.02,3.1,3.99,42.37,Zn
3276.15,2263.18,0.7,1.01,0.69,5.45,6.87,50.95,Co
3236.55,2247.72,0.7,1,0.69,5.4,6.81,50.73,Co
1138.24,1310.71,0.53,0.46,1.15,2.72,3.37,40.14,Zn
1713.33,1735.08,0.63,0.62,1.01,3.47,4.37,46.28,Zn
3023.92,2197.25,0.73,1.01,0.73,5.14,6.65,51.74,Zn
1249.67,1370.58,0.53,0.48,1.1,2.87,3.53,40.16,Zn
2816.44,2438.46,0.69,0.8,0.87,4.88,5.88,54.13,Zn
2658.32,2404.59,0.69,0.76,0.9,4.68,5.63,53.97,Zn
1268.34,1476,0.59,0.5,1.16,2.89,3.61,43.56,Zn
3481.13,2616.23,0.73,0.98,0.75,5.7,6.97,56.29,Zn
1416.84,1451.46,0.59,0.58,1.02,3.09,3.98,42.46,Zn
2927.8,2189.36,0.74,0.99,0.75,5.02,6.51,52.05,Cu
1855.28,1837.3,0.63,0.64,0.99,3.65,4.56,47.31,Zn
1651.63,1770.87,0.62,0.57,1.07,3.39,4.17,46.65,Zn
1437.62,1571.87,0.6,0.55,1.09,3.11,3.91,44.52,Zn
2510.98,2169.58,0.69,0.8,0.86,4.49,5.61,51.35,Zn
2685.1,2148.08,,0.9,0.8,4.71,6.04,51.46,Zn
2870.4,2358.23,0.71,0.86,0.82,4.94,6.1,53.36,Zn
3486.86,1788.29,0.81,1.57,0.51,5.71,8.54,47.91,Fe
1306.7,1797.55,0.55,0.4,1.38,2.94,3.44,48.97,Fe
2154.45,2073.83,0.64,0.66,0.96,4.04,4.89,49.5,Zn
3810.89,2275.99,0.73,1.22,0.6,6.11,7.9,51.22,Cu
4870.46,2179.79,0.8,1.78,0.45,7.39,10.24,51.04,Co
1918.86,2195.85,0.65,0.56,1.14,3.74,4.42,52.87,Zn
796.39,1373.37,0.56,0.33,1.72,2.27,2.69,47.59,Cd
5084.98,3093.18,0.73,1.2,0.61,7.64,8.97,59.96,Zn
1938.66,1739.4,0.59,0.66,0.9,3.76,4.69,44.18,Zn
1368.83,1402.26,0.6,0.58,1.02,3.02,3.93,41.96,Cu
1023.99,1337.07,0.62,0.48,1.31,2.57,3.32,44.82,Ni
2056.1,1895.01,0.63,0.68,0.92,3.91,4.86,47.06,Zn
3437.37,2685.51,0.7,0.9,0.78,5.65,6.71,56.22,Cu
3863.91,2741.89,0.72,1.01,0.71,6.17,7.38,56.57,Cu
2208.91,2019.19,0.64,0.7,0.91,4.11,5.05,48.66,Ni
1621.82,1864.26,0.57,0.49,1.15,3.35,3.95,47.31,Ni
3241.55,2580.31,0.7,0.88,0.8,5.41,6.48,55.2,Cu
3228.34,2577.99,0.7,0.88,0.8,5.39,6.47,55.27,Cu
1294.17,1787.82,0.7,0.5,1.38,2.93,3.63,52.07,Zn
2111.12,2264.54,0.67,0.62,1.07,3.98,4.74,53.35,Zn
1505.29,1964.07,0.63,0.48,1.3,3.2,3.79,51.42,Cu
1275.62,1566,0.61,0.5,1.23,2.9,3.62,46.04,Ti
1431.79,1685.21,0.6,0.51,1.18,3.11,3.79,46.38,Ti
1390.68,1645.32,0.6,0.5,1.18,3.05,3.72,45.76,Ti
1583.39,1865.2,0.61,0.52,1.18,3.3,3.96,48.6,Zn
1608.45,2076.15,0.68,0.52,1.29,3.34,3.99,53.58,Cd
2064.02,1885.16,0.6,0.66,0.91,3.92,4.81,46.13,Ni
983.34,1284.42,0.53,0.4,1.31,2.52,3.05,41.03,Cd
2616.5,2224.03,,0.84,0.85,4.62,5.82,52.49,Co
1738.01,1841.47,0.63,0.6,1.06,3.5,4.34,48.02,Zn
2471.76,1619.49,0.73,1.11,0.66,4.44,6.43,45.03,Zn
1390.71,1742.86,0.58,0.46,1.25,3.05,3.62,47.07,Zn
1899.19,2511.12,0.73,0.55,1.32,3.71,4.38,60.55,Zn
2024.19,2599.39,0.73,0.57,1.28,3.87,4.56,61.38,Zn
1805.57,2351.43,0.69,0.53,1.3,3.59,4.24,57.61,Zn
1800.5,2344.83,0.69,0.53,1.3,3.58,4.23,57.52,Zn
2229.73,1803.58,0.8,0.99,0.81,4.13,5.88,50.57,Zn
1797.69,2424.04,0.71,0.53,1.35,3.58,4.23,59.5,Zn
596.72,1054.03,0.56,0.32,1.77,2.01,2.44,44.14,Zn
1286.57,1695.15,0.57,0.43,1.32,2.92,3.45,47.06,Cu
899.84,1339.88,0.55,0.37,1.49,2.41,2.88,44.11,Al
916.39,1318.22,0.56,0.39,1.44,2.43,2.95,43.76,Al
920.1,1438.27,0.58,0.37,1.56,2.43,2.9,46.65,Cd
1296.59,1488.16,0.64,0.56,1.15,2.93,3.81,45.45,Al
1406.63,1888.85,0.67,0.5,1.34,3.07,3.74,52.15,Cd
2419.32,2241.48,0.68,0.73,0.93,4.37,5.33,52.17,Co
1625.6,2049.12,0.7,0.55,1.26,3.36,4.09,53.73,Cd
1579.27,1759.63,0.62,0.55,1.11,3.3,4.04,46.97,Zn
2011.65,1926.91,0.64,0.67,0.96,3.85,4.79,48.17,Zn
1685.83,1644.41,0.65,0.66,0.98,3.44,4.46,45.53,Zn
2290.48,2041.5,0.68,0.76,0.89,4.21,5.3,49.86,Zn
1619.08,1847.33,0.62,0.54,1.14,3.35,4.05,48.2,Cu
1415.71,1659.79,0.6,0.51,1.17,3.08,3.78,46.01,Cu
2410.89,2120.61,0.71,0.81,0.88,4.36,5.55,51.65,Cu
2510.09,2182.06,0.72,0.83,0.87,4.49,5.69,52.47,Cu
2405.69,2124.84,0.72,0.81,0.88,4.36,5.54,51.82,Cu
2444.89,2150.81,0.71,0.81,0.88,4.41,5.58,51.96,Cu
2416.26,2126.12,0.72,0.82,0.88,4.37,5.58,52,Cu
2434.99,2147.64,0.72,0.81,0.88,4.39,5.57,52.01,Cu
2396.81,2115.68,0.71,0.81,0.88,4.35,5.53,51.71,Cu
1044.52,1498.07,0.61,0.42,1.43,2.6,3.16,46.84,Zn
2907.78,2505.7,0.71,0.82,0.86,4.99,6.02,55.22,Zn
4512,2521.72,0.77,1.39,0.56,6.96,8.94,54.88,Cu
958.21,1211.1,0.53,0.42,1.26,2.49,3.08,40.17,Cd
1539.84,1543.11,0.54,0.54,1,3.25,3.98,41.53,Mn
1822.53,1718.26,0.59,0.63,0.94,3.61,4.5,44.43,Ni
995.4,1287.83,0.56,0.43,1.29,2.53,3.15,42.01,Cd
2235.22,1938.3,0.62,0.72,0.87,4.14,5.13,46.94,Zn
1702.16,1743.19,0.57,0.56,1.02,3.46,4.19,44.76,Ni
1102.76,1531.01,0.6,0.43,1.39,2.68,3.25,46.6,Cd
3232.68,2759.78,0.7,0.82,0.85,5.4,6.35,57.93,Cd
3196.98,2469.12,0.73,0.94,0.77,5.35,6.61,54.66,Cd
3636.41,2542.49,0.74,1.05,0.7,5.89,7.29,55,Cd
1471.42,1694.44,0.6,0.53,1.15,3.16,3.89,46.56,Ni
1079.02,1552.49,0.6,0.42,1.44,2.64,3.2,47.49,Ga
1373.27,1553.18,0.64,0.57,1.13,3.03,3.91,46.02,Fe
682.34,1029.25,0.52,0.34,1.51,2.12,2.58,39.94,Mn
1518.84,2064.83,0.66,0.48,1.36,3.22,3.81,53.83,Cd
1329.44,1771.15,0.62,0.47,1.33,2.97,3.58,49.44,Cd
1321.52,1901.77,0.61,0.42,1.44,2.96,3.48,51.91,Ni
1504.99,1844.97,0.65,0.53,1.23,3.2,3.92,49.98,Cd
1838.25,1704.27,0.65,0.7,0.93,3.63,4.71,45.87,Fe
4521.86,2625.75,0.76,1.31,0.58,6.97,8.74,55.62,Cu
2050.91,2521,0.71,0.58,1.23,3.91,4.61,59.37,Cd
2754.14,1852.6,0.71,1.05,0.67,4.8,6.52,46.9,Cu
1920.69,1713.32,0.62,0.69,0.89,3.74,4.76,44.6,Ni
1779.17,1988.36,0.66,0.59,1.12,3.56,4.35,50.77,Cu
1035.16,1500.2,0.57,0.39,1.45,2.59,3.07,45.94,Cu
1290.51,1369.43,0.55,0.51,1.06,2.92,3.66,40.29,Ni
1438.44,1604.24,0.56,0.5,1.12,3.11,3.77,43.67,Ni
1440.76,1597.49,0.59,0.53,1.11,3.12,3.86,44.48,Ni
1388.22,1566.4,0.58,0.52,1.13,3.05,3.78,44.32,Ni
1199.86,1409.46,0.55,0.47,1.17,2.8,3.46,42.05,Ni
1100.17,1328.47,0.54,0.45,1.21,2.67,3.3,41.25,Ni
1956.93,1577.17,0.66,0.82,0.81,3.78,5.16,43.87,Cr
730.99,1199.79,0.5,0.31,1.64,2.18,2.57,43.37,Cu
1256.87,1684.26,0.56,0.42,1.34,2.88,3.4,47.13,Cu
3748.72,2428.58,0.73,1.13,0.65,6.03,7.61,53.32,Co
1131.48,1496.81,0.6,0.46,1.32,2.71,3.36,46.03,Cu
1190.98,1516.85,0.57,0.45,1.27,2.79,3.39,44.68,Mn
1599.27,1899.27,0.59,0.5,1.19,3.32,3.94,48.66,Ni
1482.53,1864.63,0.67,0.53,1.26,3.17,3.9,50.99,Cd
1284.1,1791.62,0.65,0.47,1.4,2.91,3.54,51.14,Cd
545.93,883.144,0.54,0.34,1.62,1.94,2.45,40.6,Cd
1454.07,1975.58,0.68,0.5,1.36,3.13,3.78,53.42,Cd
606.13,967.946,0.54,0.34,1.6,2.02,2.51,41.05,Cd
579.54,930.362,0.54,0.33,1.61,1.98,2.45,40.33,Cd
1979.14,2264.35,0.71,0.62,1.14,3.81,4.62,55.37,Cd
1682.21,1786.16,0.56,0.52,1.06,3.43,4.07,45.01,Ni
4016,2992.97,0.79,1.06,0.75,6.36,7.65,61.73,Cu
1776.77,1989.69,0.6,0.54,1.12,3.55,4.21,49.24,Cu
1527.99,1992.95,0.61,0.47,1.3,3.23,3.81,51.64,Cu
1528.95,1995.48,0.62,0.47,1.31,3.23,3.81,51.69,Cu
1504.17,1973.17,0.62,0.47,1.31,3.2,3.78,51.5,Cu
1181.22,1295.9,0.55,0.51,1.1,2.78,3.56,40.44,Ni
1533.85,1587.07,0.61,0.59,1.03,3.24,4.12,44.43,Fe
1541.29,1806.33,0.59,0.51,1.17,3.25,3.89,47.48,Zn
1462.98,1697.89,0.62,0.54,1.16,3.15,3.91,47.19,Zn
1677.58,1773.48,0.67,0.64,1.06,3.42,4.39,48.59,Cd
1524.17,1785.15,0.62,0.53,1.17,3.23,3.94,47.98,Fe
2238.66,1784.74,0.64,0.8,0.8,4.15,5.36,45.17,Cu
1688.4,1617.77,0.61,0.64,0.96,3.44,4.4,44.15,Cu
747.41,1218.16,0.52,0.32,1.63,2.21,2.61,43.66,Mo
1505.65,1753.9,0.58,0.5,1.16,3.2,3.83,46.41,Cu
1998.35,1860.71,0.68,0.73,0.93,3.84,4.95,48.45,Cu
1283.06,1660.56,0.59,0.45,1.29,2.91,3.48,46.61,Cu
1405.98,1649.01,0.59,0.5,1.17,3.07,3.74,45.54,Cu
3631.71,2129.19,0.78,1.33,0.59,5.89,8.04,51.23,Co
1673.24,2052.71,0.66,0.54,1.23,3.42,4.1,52.5,Zn
1132.34,1408.14,0.58,0.46,1.24,2.71,3.36,43.28,Zn
1298.38,1394.66,0.63,0.58,1.07,2.93,3.87,43.22,Zn
1165.55,1653.8,0.56,0.4,1.42,2.76,3.25,47.73,Zn
3588.78,1907.5,0.73,1.37,0.53,5.84,8.11,46.88,Fe
3575.87,1667.35,0.77,1.65,0.47,5.82,8.83,45.15,Fe
1051.86,1391.46,0.53,0.4,1.32,2.61,3.11,42.47,Zn
1340.2,1723.1,0.65,0.51,1.29,2.99,3.7,49.47,Zn
987.22,1274.82,0.56,0.43,1.29,2.52,3.14,41.83,Zn
4172.71,2324.09,0.73,1.31,0.56,6.55,8.45,51.38,Co
854.76,1697.99,0.62,0.31,1.99,2.35,2.74,55.9,Zn
3227.86,2047.9,0.74,1.17,0.63,5.39,7.26,49.66,Zn
2414.14,2044.34,0.67,0.79,0.85,4.37,5.49,49.23,Zn
3645.63,2586.66,0.71,1,0.71,5.91,7.17,54.77,Zn
4386,2324.58,,1.36,0.53,6.81,8.76,50.87,Zn
1884.57,1807.63,0.59,0.61,0.96,3.69,4.5,45.2,Zn
3262.24,2037.67,0.78,1.25,0.62,5.43,7.5,50.68,Cr
1417.7,1552.88,0.58,0.53,1.1,3.09,3.84,43.69,Cd
1353.85,1540.19,0.58,0.51,1.14,3,3.72,43.93,Cd
1962.02,1600.87,0.66,0.8,0.82,3.79,5.11,43.94,Ni
4145.29,1646.09,0.84,2.12,0.4,6.51,10.5,46.59,Cu
4213.63,1629.94,0.85,2.19,0.39,6.6,10.73,46.5,Zn
2061.46,1452.89,0.69,0.97,0.7,3.92,5.68,42.42,Zn
2413.78,1815.26,0.68,0.9,0.75,4.37,5.8,46.3,Zn
1645.94,1500.87,0.6,0.66,0.91,3.38,4.42,42.19,Zn
2567.28,1815.66,0.69,0.98,0.71,4.56,6.16,46.42,Zn
2479.82,1763.31,0.68,0.96,0.71,4.45,6.03,45.59,Zn
